# fragment_index page_index starting_height ending_height measure_number
1 1 0 end 1
2 2 0 1518 7
3 2 1518 end 13
4 3 0 1512 25
5 3 1512 end 31
6 4 0 1639 37
7 4 1584 end 49
8 5 0 1677 61
9 5 1655 2475 68

# time time_gb measure_number
0:00 0:00 1
0:07.071 0:07.06 7
0:13.941 0:13.917 13
0:27.667 0:27.631 25
0:34.558 0:34.492 31
0:41.447 0:41.348 37
0:55.175 0:55.061 49
1:08.919 1:08.776 61
1:16.963 1:16.776 68
1:24.973 1:24.776 1
1:29.552 1:29.348 7
