# fragment_index page_index starting_height ending_height measure_number
1 1 0 2172 1
2 1 2172 end 3
3 2 0 1991 9
4 2 1991 end 17
5 3 0 1963 24
6 3 1963 end 32
7 4 0 1677 38
8 4 1677 end 44
9 5 0 1820 48
10 5 1820 2964 52

# time time_gb measure_number
0:00 0:00 1
0:04.875 0:04.858 3
0:18.915 0:18.697 9
0:37.638 0:37.158 17
0:54.425 0:53.781 24
1:09.551 1:08.778 32
1:20.893 1:20.032 38
1:32.239 1:31.283 44
1:39.801 1:38.777 48
1:47.367 1:46.28 52
1:54.915 1:53.777 32
