# fragment_index page_index starting_height ending_height measure_number
1 1 0 2178 1
2 1 2178 end 5
3 2 0 2079 9
4 2 2079 end 13
5 3 0 1221 16
6 3 1221 end 18
7 4 0 1507 23

# time time_gb measure_number
0:00 0:00 1
0:06.655 0:06.601 5
0:13.105 0:13.001 9
0:19.547 0:19.401 13
0:24.382 0:24.202 16
0:27.604 0:27.401 18
0:35.664 0:35.401 23
0:42.117 0:41.802 1
0:45.34 0:45.001 5
