# fragment_index page_index starting_height ending_height measure_number
1 1 0 1590 1
2 1 1590 end 7
3 2 0 1766 19
4 2 1766 end 31
5 3 0 2030 43
6 3 2030 end 55
7 4 0 2107 61

# time time_gb measure_number
0:00 0:00 1
0:05.827 0:05.827 7
0:17.079 0:17.078 19
0:28.327 0:28.326 31
0:39.578 0:39.578 43
0:50.83 0:50.819 55
0:56.46 0:56.45 61
1:07.706 1:07.702 1
1:13.334 1:13.328 7
