# fragment_index page_index starting_height ending_height measure_number
1 1 0 1518 1
2 1 1518 end 5
3 2 0 1793 15
4 2 1793 end 25
5 3 0 1760 35
6 3 1760 end 45
7 4 0 1859 54
8 4 1859 2959 61

# time time_gb measure_number
0:00 0:00 1
0:03.933 0:03.955 5
0:13.261 0:13.329 15
0:22.589 0:22.704 25
0:31.918 0:32.08 35
0:41.247 0:41.455 45
0:49.642 0:49.891 54
0:56.173 0:56.453 61
0:59.904 1:00.205 1
1:03.635 1:03.953 5
