# fragment_index page_index starting_height ending_height measure_number
1 1 0 1644 1
2 1 1644 end 5
3 2 0 2315 15
4 2 2315 end 23
5 3 0 1226 27
6 3 1226 2568 31

# time time_gb measure_number
0:00 0:00 1
0:07.218 0:07.159 5
0:24.776 0:24.549 15
0:38.82 0:38.463 23
0:45.845 0:45.42 27
0:52.864 0:52.375 31
0:59.888 0:59.334 1
1:03.392 1:02.81 5
