# fragment_index page_index starting_height ending_height measure_number
1 1 0 1623 1
2 1 1568 end 7
3 2 0 2217 19
4 2 2217 end 31
5 3 0 1711 37
6 3 1667 end 49
7 4 0 1898 61

# time time_gb measure_number
0:00 0:00 1
0:07.243 0:07.259 7
0:21.332 0:21.377 19
0:35.451 0:35.494 31
0:42.502 0:42.553 37
0:56.599 0:56.671 49
1:10.719 1:10.789 61
1:27.186 1:27.259 1
1:31.881 1:31.964 7
