# fragment_index page_index starting_height ending_height measure_number
1 1 0 2024 1
2 1 2024 end 7
3 2 0 1545 13
4 2 1496 end 19
5 3 0 2040 28
6 3 1974 end 37
7 4 0 2051 43
8 4 2002 end 52
9 5 0 1507 58

# time time_gb measure_number
0:00 0:00 1
0:15.524 0:15.522 7
0:30.848 0:30.842 13
0:46.168 0:46.193 19
1:09.15 1:09.14 28
1:32.132 1:32.119 37
1:47.454 1:47.438 43
2:10.437 2:10.416 52
2:25.759 2:25.736 58
2:43.634 2:43.605 1
