# fragment_index page_index starting_height ending_height measure_number
1 1 0 1947 1
2 1 1892 end 7
3 2 0 1441 16
4 2 1441 end 21
5 3 0 1369 29
6 3 1320 end 34
7 4 0 764 42

# time time_gb measure_number
0:00 0:00 1
0:10.727 0:10.708 7
0:25.996 0:25.92 16
0:34.466 0:34.369 21
0:48.024 0:47.896 29
0:56.501 0:56.341 34
1:10.057 1:09.874 42
1:13.45 1:13.244 16
1:15.15 1:14.934 21
