# fragment_index page_index starting_height ending_height measure_number
1 1 0 1853 1
2 1 1853 end 5
3 2 0 1402 10
4 2 1402 end 17
5 3 0 1600 26
6 3 1600 end 32
7 4 0 1309 38

# time time_gb measure_number
0:00 0:00 1
0:08.048 0:08.071 5
0:17.901 0:17.905 10
0:31.684 0:31.676 17
0:49.358 0:49.384 26
1:01.156 1:01.186 32
1:12.954 1:12.988 38
1:20.819 1:20.857 1
1:26.69 1:26.758 5
