# fragment_index page_index starting_height ending_height measure_number
1 1 0 1606 1
2 1 1606 end 5
3 2 0 1523 12
4 2 1523 end 18
5 3 0 1369 24
6 3 1369 end 29
7 4 0 1347 34
8 4 1320 2744 38

# time time_gb measure_number
0:00 0:00 1
0:12.431 0:11.912 5
0:27.488 0:26.889 12
0:39.531 0:38.888 18
0:51.569 0:50.891 24
1:01.597 1:00.889 29
1:11.642 1:10.893 34
1:19.666 1:18.888 38
1:31.717 1:30.892 12
