# fragment_index page_index starting_height ending_height measure_number
1 1 0 end 1
2 2 0 1870 7
3 2 1870 end 19
4 3 0 1743 25
5 3 1743 end 30
6 4 0 1925 41
7 4 1925 end 53
8 5 0 825 59

# time time_gb measure_number
0:00 0:00 1
0:07.069 0:07.062 7
0:20.795 0:20.774 19
0:27.686 0:27.633 25
0:33.426 0:33.341 30
0:46.025 0:45.917 41
0:59.762 0:59.634 53
1:06.666 1:06.49 59
1:13.541 1:13.345 1
1:20.424 1:20.205 7
