# fragment_index page_index starting_height ending_height measure_number
1 1 0 1831 0
2 1 1831 end 5
3 2 0 1831 13
4 2 1831 end 21
5 3 0 1782 29
6 3 1782 end 37
7 4 0 973 45

# time time_gb measure_number
0:00 0:00 0
0:08.718 0:08.739 5
0:23.282 0:23.286 13
0:37.847 0:37.833 21
0:52.412 0:52.375 29
1:06.977 1:06.921 37
1:21.538 1:21.467 45
1:30.643 1:30.557 5
