# fragment_index page_index starting_height ending_height measure_number
1 1 0 2096 1
2 1 2046 end 12
3 2 0 1683 24
4 2 1634 end 36
5 3 0 1865 48
6 3 1821 end 60
7 4 0 1623 72
8 4 1612 end 84

# time time_gb measure_number
0:00 0:00 1
0:10.499 0:10.512 12
0:21.751 0:21.763 24
0:33.002 0:33.011 36
0:44.254 0:44.264 48
0:55.506 0:55.511 60
1:06.758 1:06.764 72
1:18.01 1:18.013 84
1:30.2 1:30.201 1
