# fragment_index page_index starting_height ending_height measure_number
1 1 0 2046 1
2 1 2018 end 7
3 2 0 1408 12
4 2 1408 end 18
5 3 0 1672 25
6 3 1672 3085 30

# time time_gb measure_number
0:00 0:00 1
0:10.738 0:10.709 7
0:19.219 0:19.161 12
0:29.384 0:29.301 18
0:41.247 0:41.129 25
0:49.723 0:49.581 30
0:56.502 0:56.345 7
0:59.887 0:59.733 12
