# fragment_index page_index starting_height ending_height measure_number
1 1 0 1479 1
2 1 1419 end 4
3 2 0 1771 9
4 2 1727 end 13
5 3 0 940 19
6 3 902 2629 21

# time time_gb measure_number
0:00 0:00 1
0:06.606 0:06.629 4
0:17.239 0:17.347 9
0:25.758 0:25.919 13
0:38.537 0:38.775 19
0:42.797 0:43.06 21
0:53.447 0:53.773 4
1:01.966 1:02.349 9
