# fragment_index page_index starting_height ending_height measure_number
1 1 0 1513 1
2 1 1513 end 5
3 2 0 1194 15
4 2 1194 end 20
5 3 0 1859 30
6 3 1859 end 40
7 4 0 1705 50
8 4 1705 end 61
9 5 0 2371 69

# time time_gb measure_number
0:00 0:00 1
0:03.833 0:03.84 5
0:12.923 0:12.931 15
0:17.438 0:17.475 20
0:26.54 0:26.568 30
0:35.624 0:35.658 40
0:44.714 0:44.749 50
0:54.692 0:54.748 61
1:01.957 1:02.022 69
1:12.857 1:12.93 1
1:16.49 1:16.567 5
