# fragment_index page_index starting_height ending_height measure_number
1 1 0 1908 1
2 1 1964 end 5
3 2 0 1754 10
4 2 1754 end 12
5 3 0 1776 14
6 3 1776 2684 16

# time time_gb measure_number
0:00 0:00 1
0:06.6 0:06.605 5
0:14.593 0:14.605 10
0:17.792 0:17.804 12
0:20.99 0:21.005 14
0:24.188 0:24.202 16
0:25.79 0:25.807 1
0:32.187 0:32.204 5
