# fragment_index page_index starting_height ending_height measure_number
1 1 0 1991 1
2 1 1991 end 5
3 2 0 1980 9
4 2 1980 end 15
5 3 0 1480 19
6 3 1480 end 23
7 4 0 792 29

# time time_gb measure_number
0:00 0:00 1
0:09.556 0:09.616 5
0:18.906 0:19.024 9
0:32.928 0:33.143 15
0:42.288 0:42.555 19
0:51.629 0:51.966 23
1:05.66 1:06.083 29
1:10.329 1:10.79 1
1:19.695 - 5
