# fragment_index page_index starting_height ending_height measure_number
1 1 0 1573 1
2 1 1573 end 4
3 2 0 2332 10
4 2 2332 end 18
5 3 0 1364 22
6 3 1331 3047 26

# time time_gb measure_number
0:00 0:00 1
0:05.653 0:05.632 4
0:15.163 0:15.113 10
0:27.846 0:27.752 18
0:34.189 0:34.067 22
0:40.531 0:40.383 26
0:50.05 0:49.85 4
0:53.215 0:53.008 10
