# fragment_index page_index starting_height ending_height measure_number
1 1 0 1425 1
2 1 1425 end 4
3 2 0 1788 10
4 2 1788 end 16
5 3 0 1749 22
6 3 1661 end 28
7 4 0 1073 34

# time time_gb measure_number
0:00 0:00 1
0:05.34 0:05.345 4
0:15.641 0:15.631 10
0:25.915 0:25.916 16
0:36.193 0:36.203 22
0:46.489 0:46.49 28
0:56.769 0:56.773 34
1:01.194 1:01.918 1
1:07.065 1:07.061 4
