# fragment_index page_index starting_height ending_height measure_number
1 1 0 1436 1
2 1 1436 end 4
3 2 0 1777 12
4 2 1777 end 20
5 3 0 1774 28
6 3 1774 end 36
7 4 0 1007 44

# time time_gb measure_number
0:00 0:00 1
0:04.485 0:04.44 4
0:15.902 0:15.731 12
0:27.336 0:27.027 20
0:38.773 0:38.32 28
0:50.188 0:49.616 36
1:01.622 1:00.909 44
1:08.771 1:07.967 1
1:13.057 1:12.204 4
