# fragment_index page_index starting_height ending_height measure_number
1 1 0 2002 1
2 1 1947 end 5
3 2 0 1595 9
4 2 1595 end 14
5 3 0 1749 21
6 3 1749 end 25
7 4 0 1727 29
8 4 1727 end 35

# time time_gb measure_number
0:00 0:00 1
0:07.981 0:08.006 5
0:15.786 0:15.812 9
0:25.494 0:25.568 14
0:39.11 0:39.225 21
0:46.89 0:47.034 25
0:54.673 0:54.836 29
1:06.352 1:06.546 35
1:18.029 1:18.25 1
1:25.79 1:26.059 5
