# fragment_index page_index starting_height ending_height measure_number
1 1 0 1545 1
2 1 1545 end 3
3 2 0 1072 7
4 2 1072 end 9
5 3 0 1276 13
6 3 1215 2497 15

# time time_gb measure_number
0:00 0:00 1
0:04.219 0:04.202 3
0:12.255 0:12.205 7
0:16.28 0:16.202 9
0:24.327 0:24.205 13
0:28.348 0:28.201 15
0:32.368 0:32.202 9
0:40.418 0:40.204 13
