# fragment_index page_index starting_height ending_height measure_number
1 1 0 1964 1
2 1 1964 end 6
3 2 0 1755 12
4 2 1755 end 19
5 3 0 1804 25
6 3 1804 2706 31

# time time_gb measure_number
0:00 0:00 1
0:08.197 0:08.205 6
0:17.792 0:17.805 12
0:28.986 0:29.004 19
0:38.582 0:38.604 25
0:48.176 0:48.204 31
0:52.975 0:53.006 6
0:56.172 0:56.204 12
