# fragment_index page_index starting_height ending_height measure_number
1 1 0 1914 1
2 1 1914 end 6
3 2 0 1457 10
4 2 1408 end 14
5 3 0 1496 20
6 3 1468 end 24
7 4 0 869 41

# time time_gb measure_number
0:00 0:00 1
0:08.187 0:08.207 6
0:14.577 0:14.606 10
0:20.966 0:21.003 14
0:30.551 0:30.604 20
0:36.941 0:37.005 24
0:48.123 0:48.205 41
0:51.319 0:51.413 1
0:59.305 0:59.404 6
