# fragment_index page_index starting_height ending_height measure_number
1 1 0 2002 1
2 1 1975 end 7
3 2 0 1595 13
4 2 1546 end 19
5 3 0 1601 28
6 3 1601 end 34
7 4 0 1788 40
8 4 1733 end 46
9 5 0 787 56

# time time_gb measure_number
0:00 0:00 1
0:09.84 0:09.8 7
0:19.486 0:19.401 13
0:29.129 0:29.004 19
0:43.594 0:43.395 28
0:53.238 0:53.0 34
1:02.879 1:02.602 40
1:12.523 1:12.201 46
1:28.594 1:28.208 56
1:33.415 1:33.003 7
1:39.843 1:39.395 13
