# fragment_index page_index starting_height ending_height measure_number
1 1 0 2002 1
2 1 2002 end 8
3 2 0 2299 16
4 2 2299 end 23
5 3 0 2228 26
6 3 2228 end 32

# time time_gb measure_number
0:00 0:00 1
0:11.398 0:11.402 8
0:24.177 0:24.203 16
0:35.359 0:35.403 23
0:40.151 0:40.203 26
0:49.735 0:49.803 32
0:54.528 0:54.601 1
1:02.514 1:02.604 8
