# fragment_index page_index starting_height ending_height measure_number
1 1 0 1941 1
2 1 1941 end 10
3 2 0 1776 19
4 2 1776 end 29
5 3 0 1782 39
6 3 1782 end 49
7 4 0 1815 59

# time time_gb measure_number
0:00 0:00 1
0:07.418 0:07.404 10
0:14.651 0:14.601 19
0:22.687 0:22.602 29
0:30.724 0:30.602 39
0:38.761 0:38.603 49
0:46.798 0:46.6 59
0:53.23 0:53.003 1
0:58.857 0:58.605 10
