# fragment_index page_index starting_height ending_height measure_number
1 1 0 1919 1
2 1 1919 end 5
3 2 0 1430 9
4 2 1430 end 13
5 3 0 1441 19
6 3 1441 end 23
7 4 0 1457 29
8 4 1457 end 33
9 5 0 2123 39

# time time_gb measure_number
0:00 0:00 1
0:06.59 0:06.601 5
0:12.98 0:13.001 9
0:19.37 0:19.402 13
0:28.954 0:29.003 19
0:35.344 0:35.402 23
0:44.929 0:45.003 29
0:51.319 0:51.401 33
1:00.903 1:01.002 39
1:10.488 1:10.604 5
1:16.878 1:17.003 9
